,PInflow (kgPin/year),Minimum cost technology,Minimum cost P recovered (kg P/year),Minimum cost P recovered (% over inflow),Minimum cost P recovery cost (EUR/kg P recovered),Minimum cost P recovery cost (EUR/year),Maximum P recovery technology,Maximum P recovery P recovered (kg P/year),Maximum P recovery P recovered (% over inflow),Maximum P recovery P recovery cost (EUR/kg P recovered),Maximum P recovery P recovery cost (EUR/year)
375,84.93362562552817,P RoC,22.932078918892607,27.0,18.50034588086088,424.2513917667115,REMNUT,39.91880404399824,47.00000000000001,47.20141481324558,1884.2240285294256
503,56509.45906561995,P RoC,15257.553947717388,27.0,4.427012222058877,67545.37780526753,REMNUT,26559.445760841376,47.0,31.957480100507887,848772.9593826068
1412,154.23569826015537,P RoC,41.64363853024194,26.99999999999999,16.224700740397246,675.6555728944518,REMNUT,72.490778182273,46.999999999999986,45.541643773975,3301.349196875316
1436,8236.527116957712,P RoC,2223.8623215785824,27.0,6.76259944959416,15039.090111880512,REMNUT,3871.167744970124,47.0,35.871963433405185,138866.3877921459
7059,5422.411243947113,P RoC,1464.0510358657205,27.0,7.414041873517391,10854.535684874963,REMNUT,2548.533284655143,47.0,36.783093325961296,93742.9376537888
7391,48.392409337460194,P RoC,13.065950521114251,26.999999999999996,20.93757500046784,273.56931898823154,REMNUT,22.74443238860629,46.99999999999999,48.821729647494735,1110.4225290622592
7890,5463.728152014737,P RoC,1475.2066010439792,27.0,7.401670977965695,10918.993885450638,REMNUT,2567.9522314469264,47.0,36.76634441368374,94414.2161792654
8469,75.15366426822695,P RoC,20.29148935242128,27.000000000000007,19.00502033883589,385.6401678480384,REMNUT,35.32222220606666,47.0,47.54915314826976,1679.5417532134786
8493,1863.27070604142,P RoC,503.0830906311835,27.000000000000007,9.3781389612431,4717.983132990895,REMNUT,875.7372318394674,47.0,39.21780102858455,34344.48851160365
8983,11911.912365176888,P RoC,3216.21633859776,27.0,6.235358759836537,20054.26272040494,REMNUT,5598.598811633137,47.0,35.08656938129426,196435.62564239767
9220,9991.577777604589,P RoC,2697.72599995324,27.000000000000007,6.481236630009165,17484.60056862504,REMNUT,4696.041555474157,47.0,35.458613656285856,166515.1232294218
9281,3100.606006358081,P RoC,837.163621716682,27.000000000000007,8.384151657952732,7018.906766993632,REMNUT,1457.2848229882982,47.00000000000001,38.03759071672909,55431.60365452989
9389,2921.060861657627,P RoC,788.6864326475593,27.0,8.494903323146126,6699.814997618015,REMNUT,1372.898604979085,47.00000000000001,38.1739728084652,52408.994015251374
9390,6775.422978486912,P RoC,1829.3642041914663,27.0,7.059458072301882,12914.319898459556,REMNUT,3184.4487998888485,47.0,36.29473346090708,115578.7204118712
9562,3418.137457328728,P RoC,922.8971134787566,27.0,8.206229883505513,7573.505872030351,REMNUT,1606.524604944502,47.0,37.81572445019525,60751.89178304007
9835,1621.794059019023,P RoC,437.8843959351362,26.999999999999996,9.6689278351514,4233.872624435696,REMNUT,762.2432077389408,47.0,39.545771611820896,30143.495805905903
9840,8582.214147428069,P RoC,2317.1978198055785,27.0,6.7017082525025256,15529.183751671906,REMNUT,4033.640649291192,47.0,35.783583918807466,144338.1186722244
9881,527.582905457716,P RoC,142.44738447358333,27.0,12.378653790190976,1763.3068557167137,REMNUT,247.96396556512653,47.0,42.30214146418895,10489.40674935726
9914,1851.415439328298,P RoC,499.8821686186405,27.0,9.391317430915926,4694.552123552293,REMNUT,870.1652564843,47.0,39.23282339418295,34139.03983140246
9963,1877.0265631992736,P RoC,506.7971720638039,27.0,9.362975390143776,4745.129449827857,REMNUT,882.2024847036586,47.0,39.20049680372912,34582.77568186766
9985,6769.367703666809,P RoC,1827.7292799900383,27.0,7.060846835961787,12905.316503612376,REMNUT,3181.6028207234,47.0,36.296680605021336,115481.6213958322
10338,3901.237312741945,P RoC,1053.3340744403251,27.0,7.971000800457163,8396.126750512636,REMNUT,1833.581536988714,47.0,37.5169611891539,68790.40736035474
10411,4833.276184786584,P RoC,1304.9845698923775,26.999999999999996,7.604036962242587,9923.150904617883,REMNUT,2271.639806849694,46.99999999999999,37.03780999542303,84136.56354413845
10555,3032.4923119593773,P RoC,818.7729242290319,27.0,8.425223648991114,6898.34500436805,REMNUT,1425.2713866209072,46.99999999999999,38.088319687571264,54286.19221516509
10564,11343.223431643974,P RoC,3062.670326543873,27.0,6.302826421771048,19303.47945531489,REMNUT,5331.315012872668,47.00000000000001,35.189703449690306,187607.39429987103
10565,6811.25175625152,P RoC,1839.0379741879103,26.999999999999996,7.05127169177131,12967.556407483671,REMNUT,3201.2883254382145,47.0,36.28324991621125,116153.14436572416
10566,4286.029885555522,P RoC,1157.228069099991,27.0,7.807737992406587,9035.333560991314,REMNUT,2014.4340462110952,47.0,37.305810897620674,75150.09559367999
10567,1637.2959789774468,P RoC,442.06991432391067,27.0,9.648713055238888,4265.405753665454,REMNUT,769.5291101194,47.0,39.52320586206295,30414.25743609916
10568,3149.1725421885367,P RoC,850.276586390905,27.0,8.355532900904588,7104.513992458049,REMNUT,1480.111094828612,46.99999999999999,38.002136082691386,56247.38324317825
10684,12620.832148432337,P RoC,3407.624680076731,26.999999999999996,6.1565585777096485,20979.240953741493,REMNUT,5931.791109763197,46.999999999999986,34.96507923300563,207405.5461465086
11004,430.65143488851294,P RoC,116.2758874198985,27.0,12.944034932080973,1505.0791485218804,REMNUT,202.40617439760103,46.99999999999999,42.82055010335287,8667.143732020455
11104,1189.241400004754,P RoC,321.0951780012836,27.0,10.35184998392547,3323.9291132311337,REMNUT,558.9434580022344,47.0,40.28873161633768,22519.12296815973
11122,2744.144814265632,P RoC,740.9190998517207,27.000000000000007,8.612472103637845,6381.145078525408,REMNUT,1289.7480627048471,47.00000000000001,38.317341938939215,49419.71753374604
11148,10709.918587179787,P RoC,2891.6780185385437,27.000000000000014,6.382993713469863,18457.56261371051,REMNUT,5033.6617359745005,47.0,35.31121214021185,177744.69740106264
11407,25958.241843725773,P RoC,7008.72529780596,27.0,5.253355774490439,36819.32751504616,REMNUT,12200.373666551111,46.99999999999999,33.48445847318145,408522.9053949273
11440,3729.361745271962,P RoC,1006.9276712234298,27.0,8.050405964118124,8106.176529852672,REMNUT,1752.800020277822,47.0,37.61852173857536,65937.74566619657
11524,6060.044627702084,P RoC,1636.212049479563,27.000000000000007,7.234902670900499,11837.834926939267,REMNUT,2848.220975019979,47.0,36.53854478825284,104069.84966260869
11738,6478.055031406873,P RoC,1749.074858479856,27.0,7.129507902287143,12470.0430252239,REMNUT,3044.6858647612303,47.0,36.39260286138816,110804.04351393763
11920,3454.453264223732,P RoC,932.7023813404076,26.999999999999996,8.187172168230704,7636.194977752687,REMNUT,1623.5930341851538,47.0,37.79175294840352,61358.4268366742
11955,6833.0300151818,P RoC,1844.918104099086,26.999999999999996,7.046321289663704,12999.88571459939,REMNUT,3211.524107135446,47.0,36.27630097429947,116502.2150966638
12234,2502.330324731221,P RoC,675.6291876774297,27.0,8.789042274848955,5938.133492618788,REMNUT,1176.0952526236738,47.0,38.53000965381852,45314.96143740028
12313,2225.673336684182,P RoC,600.9318009047291,27.0,9.018532214262564,5419.522805034118,REMNUT,1046.0664682415654,47.0,38.8018212617563,40589.2841286259
12337,3061.896016763052,P RoC,826.711924526024,26.999999999999996,8.40735677739742,6950.462101619131,REMNUT,1439.091127878634,46.999999999999986,38.06627405097432,54780.837258153806
12420,6135.454027526698,P RoC,1656.5725874322086,27.0,7.215245266919944,11952.577520779569,REMNUT,2883.663392937548,47.0,36.51144269514013,105286.71072331264
12474,4717.239231323334,P RoC,1273.6545924573002,27.0,7.644798372415172,9736.832555436678,REMNUT,2217.102438721967,47.0,37.09185232659419,82236.43625000704
12505,2351.213695000392,P RoC,634.8276976501058,27.0,8.910316103534319,5656.515457341354,REMNUT,1105.070436650184,47.0,38.674282923453646,42737.80671735368
12571,18304.645867645268,P RoC,4942.254384264223,27.0,5.67301433701136,28037.479979088184,REMNUT,8603.183557793276,47.0,34.193701513535096,294174.6906413362
14028,9362.547519018231,P RoC,2527.8878301349228,27.0,6.57462045072271,16619.90302513812,REMNUT,4400.397333938568,47.0,35.59722585463186,156641.9377463311
14215,71973.4907829491,P RoC,19432.84251139626,27.0,4.197584130343986,81570.99133331091,REMNUT,33827.540667986075,47.0,31.497018255277094,1065466.6659506855
14286,19597.634430268947,P RoC,5291.361296172616,27.0,5.588465452650654,29570.58980115345,REMNUT,9210.888182226405,47.0,34.053956508027035,313667.1855578382
14287,1817.5832094207287,P RoC,490.7474665435969,27.000000000000007,9.42949918968495,4627.5028381127895,REMNUT,854.2641084277427,47.000000000000014,39.27626106203167,33552.300138531755
14288,4383.657771570846,P RoC,1183.5875983241283,26.999999999999996,7.7691465345743165,9195.465487885042,REMNUT,2060.319152638297,46.999999999999986,37.25543148354439,76758.07902535032
14290,2283.376783420681,P RoC,616.511731523584,27.000000000000007,8.967890693849519,5528.809819779402,REMNUT,1073.1870882077203,47.00000000000001,38.7422769449043,41577.711385038936
14291,4760.9618641382185,P RoC,1285.459703317319,27.0,7.629297308534325,9807.154254748157,REMNUT,2237.6520761449624,46.99999999999999,37.07132544216664,82952.72834110975
14298,5633.379182247588,P RoC,1521.012379206849,27.0,7.352045690641641,11182.552507960305,REMNUT,2647.688215656366,47.0,36.69895154962114,97167.38154487584
